N,vector,set,unordered_set
1,583,375,375
2,417,542,292
3,375,708,417
4,417,917,792
5,583,1083,916
6,666,1167,1041
7,1000,1292,1041
8,1167,1584,1209
9,1416,1500,1291
10,1625,2167,1625
11,1791,2291,1834
12,2083,2541,1667
13,2333,2625,1709
14,2625,2750,2125
15,2917,2791,1958
16,3375,3041,2167
17,3791,3542,2500
18,4292,3667,2791
19,4417,3959,2334
20,4792,3916,2667
21,5292,4291,2875
22,5959,4292,3292
23,6125,4875,3542
24,6666,4708,3375
25,7167,5125,3625
26,7708,5334,3000
27,8208,5166,3208
28,8750,5625,3334
29,9291,5625,3708
30,9958,5875,3833
31,10500,6542,3917
32,11125,6500,3792
33,11834,6958,4166
34,12417,6708,4667
35,13125,7542,13041
36,13833,7042,4958
37,20750,7625,5917
38,15208,8208,5042
39,16041,8083,5291
40,16834,8250,5500
41,17625,8417,6208
42,18417,8375,5833
43,19250,8917,6584
44,20083,8958,6667
45,20958,9000,6916
46,18959,8292,6041
47,19834,8375,5875
48,20583,8375,5125
49,21375,8750,5417
50,22208,8875,5417
51,23041,9167,5959
52,23917,9000,5500
53,24833,9250,5750
54,25750,10292,5750
55,26875,9708,5750
56,27500,10000,6125
57,28584,10250,5875
58,29541,10375,6833
59,30458,10292,6250
60,31541,10834,6917
61,32459,11083,6292
62,33542,10625,6833
63,34583,11333,7167
64,35750,11125,6667
65,36666,11292,7958
66,37750,11917,7291
67,38875,12084,7666
68,40042,12875,8333
69,41208,12292,7709
70,42500,13208,7708
71,43458,13000,8750
72,44666,13000,7750
73,45875,13208,8667
74,47041,13792,8917
75,48291,14208,8541
76,49541,12750,7708
77,44958,11917,7583
78,46083,12833,8166
79,52750,12708,7958
80,48459,12875,8083
81,49583,13250,8000
82,50750,13292,7709
83,52000,13167,8625
84,53125,13875,9000
85,54584,13916,8667
86,55666,14583,9042
87,56917,14041,9291
88,58250,14583,9792
89,59458,14750,10166
90,60958,14917,10042
91,62125,15000,9334
92,63500,15208,10375
93,67542,15542,10083
94,66125,15875,10125
95,67500,14792,10583
96,68917,15625,10458
97,70375,15500,10792
98,71750,16209,8791
99,73209,16209,8000
